"Nhóm","ID","Nhãn","Kiểu","Đã lưu","Giá trị đang lưu","Giá trị mặc định"
"Trang chủ","home_testi_eyebrow","Eyebrow (dòng nhỏ trên tiêu đề)","text","Chưa","","Hiệu quả lâm sàng"
"Trang chủ","home_testi_title","Tiêu đề","text","Chưa","","Minh chứng cho làn da rạng rỡ"
"Trang chủ","home_testi_subtitle","Tiêu đề phụ","textarea","Chưa","","Hàng nghìn khách hàng đã thay đổi làn da và tìm lại sự tự tin cùng PHARMA COSMETICS."
"Trang chủ","home_testi_cta_text","Nội dung nút cuối section","text","Có","Xem thêm phản hồi của khách hàng","Xem thêm phản hồi của khách hàng"
"Trang chủ","home_testi_cta_url","Đường dẫn nút cuối section","text","Có","/phan-hoi-cua-khach-hang","/phan-hoi-cua-khach-hang"
"Trang chủ","home_testi_1_tag","Tag liệu trình","text","Có","Liệu trình HISTOLAB","Liệu trình Mesotherapy"
"Trang chủ","home_testi_1_before","Ảnh Trước","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1134857/assets/screenshot-2026-06-10-115925-a73a9cec-90b1-4a84-b833-7fc4675c4f15.png?1781065908689",""
"Trang chủ","home_testi_1_after","Ảnh Sau","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1134857/assets/screenshot-2026-06-10-115830-1ee423a5-b7db-4acc-b6c7-d5dcdff7ce20.png?1781065908689",""
"Trang chủ","home_testi_1_result_title","Tiêu đề kết quả","text","Có","Chăm sóc da mụn chuyên sâu","Điều trị Mụn & Thâm"
"Trang chủ","home_testi_1_result_desc","Mô tả kết quả","textarea","Có","Giải pháp toàn diện, kết hợp các bước làm sạch y khoa với công nghệ tái tạo tế bào tiên tiến nhất, sử dụng bộ sản phẩm chuyên biệt từ thương hiệu dược mỹ phẩm hàng đầu HISTOLAB.","Cải thiện 85% tình trạng mụn viêm và thâm sau 4 tuần sử dụng phác đồ kết hợp."
"Trang chủ","home_testi_1_author","Tên khách hàng","text","Có","Hương Ly","Hương Nam"
"Trang chủ","home_testi_1_author_meta","Thông tin thêm (tuổi, nơi ở)","text","Có","21 tuổi, Hà Nội","24 tuổi, Hà Nội"
"Trang chủ","home_testi_1_avatar","Ảnh đại diện khách hàng","image","Chưa","",""
"Trang chủ","home_testi_2_tag","Tag liệu trình","text","Có","Liệu trình DERMICA ACNEZON","Liệu trình Chemical Peel"
"Trang chủ","home_testi_2_before","Ảnh Trước","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1134857/assets/screenshot-2026-06-10-121027-82c9e245-026e-48e4-a13c-0208725a1fdd.png?1781068223395",""
"Trang chủ","home_testi_2_after","Ảnh Sau","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1134857/assets/screenshot-2026-06-10-121252-9b37bb54-1e22-47f7-9e28-866d65ac18c9.png?1781068620070",""
"Trang chủ","home_testi_2_result_title","Tiêu đề kết quả","text","Có","Tiêu Viêm, Ngăn Sẹo Mụn Cấp Tốc","Trị Nám & Tàn Nhang"
"Trang chủ","home_testi_2_result_desc","Mô tả kết quả","textarea","Có","MESO DERMICA ACNEZON chính là phác đồ vàng, sử dụng huyết thanh trị mụn chuẩn y khoa từ Thụy Sĩ, giúp tiêu viêm cấp tốc và ngăn ngừa sẹo tối đa.","Xóa mờ 90% hắc sắc tố, mang lại làn da trắng sáng, đều màu và rạng rỡ tự nhiên."
"Trang chủ","home_testi_2_author","Tên khách hàng","text","Có","Mai Lan","Anh Lan"
"Trang chủ","home_testi_2_author_meta","Thông tin thêm (tuổi, nơi ở)","text","Có","28 tuổi, Hà Nội","42 tuổi, Đà Nẵng"
"Trang chủ","home_testi_2_avatar","Ảnh đại diện khách hàng","image","Chưa","",""
"Trang chủ","home_testi_3_tag","Tag liệu trình","text","Có","Liệu trình Volayon Verdoso","Liệu trình trẻ hóa tế bào"
"Trang chủ","home_testi_3_before","Ảnh Trước","image","Có","https://bizweb.dktcdn.net/100/415/053/theme_temp/1134857/assets/screenshot-2026-06-10-122440-8aea1b13-a134-44a5-8b7f-75052e0fddf4.png?1781068640552",""
"Trang chủ","home_testi_3_after","Ảnh Sau","image","Chưa","",""
"Trang chủ","home_testi_3_result_title","Tiêu đề kết quả","text","Có","""Giải Nhiệt"" và Tái Tạo Toàn Diện Cho Làn Da Nhạy Cảm","Tái cấu trúc Collagen"
"Trang chủ","home_testi_3_result_desc","Mô tả kết quả","textarea","Có","Giải pháp đột phá, sử dụng Tảo Spirulina cao cấp để làm dịu, ""giải nhiệt"" và phục hồi hàng rào bảo vệ da. Trải nghiệm ngay liệu trình 1:1, giúp làn da khỏe mạnh, giảm kích ứng, và lấy lại vẻ tươi trẻ, rạng rỡ từ bên trong.","Công nghệ xóa nhăn độc quyền giúp làn da săn chắc, đàn hồi và trẻ hóa 5–10 tuổi chỉ sau một liệu trình."
"Trang chủ","home_testi_3_author","Tên khách hàng","text","Có","Thanh Hằng","Minh Thảo"
"Trang chủ","home_testi_3_author_meta","Thông tin thêm (tuổi, nơi ở)","text","Chưa","","Giám đốc Sáng tạo"
"Trang chủ","home_testi_3_avatar","Ảnh đại diện khách hàng","image","Chưa","",""
"Trang chủ","home_feedback_1_enable","Bật feedback 1","checkbox","Có","true",""
"Trang chủ","home_feedback_1_author","Tác giả feedback 1","text","Có","Minh Anh, 28 tuổi",""
"Trang chủ","home_feedback_1_quote","Nội dung feedback 1","text","Có","Sản phẩm Retinol của shop thực sự thay đổi làn da mình sau 3 tháng. Tư vấn viên rất nhiệt tình và chuyên nghiệp.",""
"Trang chủ","home_feedback_2_enable","Bật feedback 2","checkbox","Có","true",""
"Trang chủ","home_feedback_2_author","Tác giả feedback 2","text","Có","Thu Thảo, 35 tuổi",""
"Trang chủ","home_feedback_2_quote","Nội dung feedback 2","text","Có","Liệu trình Mesotherapy tại Spa quá tuyệt vời. Da căng mướt ngay sau buổi đầu tiên. Không gian cực kỳ thư giãn.",""
"Trang chủ","home_feedback_3_enable","Bật feedback 3","checkbox","Có","true",""
"Trang chủ","home_feedback_3_author","Tác giả feedback 3","text","Có","Phương Linh, 30 tuổi",""
"Trang chủ","home_feedback_3_quote","Nội dung feedback 3","text","Có","Tin tưởng Pharma tuyệt đối về chất lượng sản phẩm. Luôn có quà tặng kèm và HDSD rất chi tiết.",""
"Trang chủ","home_feedback_4_enable","Bật feedback 4","checkbox","Có","true",""
"Trang chủ","home_ing_menu","Menu thành phần hoạt tính","link_list","Có","mua-sam-theo-thanh-phan",""
"Trang chủ","home_ing_eyebrow","Eyebrow (dòng nhỏ trên tiêu đề)","text","Có","Thấu hiểu làn da bằng khoa học","Trung tâm Khoa học"
"Trang chủ","home_ing_title","Tiêu đề","text","Có","Tìm theo hoạt chất","Trí tuệ đằng sau làn da"
"Trang chủ","home_ing_subtitle","Tiêu đề phụ","textarea","Có","Phác đồ chuyên sâu phối hợp các hoạt chất nồng độ cao được kiểm nghiệm lâm sàng, mang lại thay đổi rõ rệt và an toàn cho nền da.","Khám phá các thành phần hoạt tính nồng độ cao giúp thay đổi làn da từ cấp độ tế bào."
"Trang chủ","home_featured_eyebrow","Eyebrow (dòng nhỏ trên tiêu đề)","text","Có","Sản phẩm được yêu thích","Cửa hàng trực tuyến"
"Trang chủ","home_featured_title","Tiêu đề section","text","Có","Sản phẩm bán chạy","Sản phẩm nổi bật"
"Trang chủ","home_featured_subtitle","Tiêu đề phụ","text","Có","",""
"Trang chủ","home_featured_collection","Danh mục sản phẩm","collection","Có","san-pham-ban-chay-noi-bat",""
"Trang chủ","home_featured_limit","Số sản phẩm hiển thị","text","Có","10","8"
"Trang chủ","home_featured_viewall_text","Nhãn nút Xem tất cả","text","Có","Xem tất cả","Xem tất cả sản phẩm"
"Trang chủ","home_stat_1_target","Con số (chỉ nhập số)","text","Chưa","","98"
"Trang chủ","home_stat_1_suffix","Ký tự sau số (vd: %, +)","text","Chưa","","%"
"Trang chủ","home_stat_1_label","Nhãn","text","Có","khách hàng hài lòng","Khách hàng hài lòng"
"Trang chủ","home_stat_1_source","Nguồn / chú thích (tùy chọn)","text","Chưa","",""
"Trang chủ","home_stat_2_target","Con số (chỉ nhập số)","text","Chưa","","15"
"Trang chủ","home_stat_2_suffix","Ký tự sau số (vd: %, +)","text","Chưa","","'+"
"Trang chủ","home_stat_2_label","Nhãn","text","Có","nhãn hàng độc quyền","Thương hiệu uy tín"
"Trang chủ","home_stat_2_source","Nguồn / chú thích (tùy chọn)","text","Chưa","",""
"Trang chủ","home_stat_3_target","Con số (chỉ nhập số, vd 10000 → 10k)","text","Chưa","","10000"
"Trang chủ","home_stat_3_suffix","Ký tự sau số (vd: %, +)","text","Chưa","","'+"
"Trang chủ","home_stat_3_label","Nhãn","text","Có","đơn hàng mỗi tháng","Khách hàng tin dùng"
"Trang chủ","home_stat_3_source","Nguồn / chú thích (tùy chọn)","text","Chưa","",""
"Trang chủ","stat_4_text","Nội dung (vd: 24/7)","text","Chưa","","24/7"
"Trang chủ","home_stat_4_label","Nhãn","text","Có","hỗ trợ 24/7","Chuyên gia hỗ trợ"
"Trang chủ","home_stat_4_source","Nguồn / chú thích (tùy chọn)","text","Chưa","",""
"Trang chủ","home_stat_4_text","Stat 4 - Giá trị văn bản","text","Có","24/7","24/7"
"Trang chủ","section_about_product_width","Chiều rộng hình ảnh sản phẩm","text","Có","1010","600"
"Trang chủ","section_about_product_height","Chiều cao hình ảnh sản phẩm","text","Có","1184","371"
"Trang chủ","slider_width","Nhập kích thước chiều rộng ảnh Slide","text","Có","900","900"
"Trang chủ","slider_height","Nhập kích thước chiều cao ảnh Slide","text","Có","447","342"
"Trang chủ","banner4_width","Chiều rộng hình ảnh","text","Có","437","640"
"Trang chủ","banner4_height","Chiều cao hình ảnh","text","Có","260","240"
"Trang chủ","banner2_width","Chiều rộng hình ảnh","text","Có","500","500"
"Trang chủ","banner2_height","Chiều cao hình ảnh","text","Có","275","275"
"Trang chủ","banner1_width","Chiều rộng hình ảnh","text","Chưa","","1280"
"Trang chủ","banner1_height","Chiều cao hình ảnh","text","Chưa","","380"
"Trang chủ","section_blog_url","Danh mục tiêu đề","blog","Có","bi-quyet",""
"Trang chủ","section_blog_1_limit","Giới hạn số sản phẩm cho tất cả các tab","text","Có","9","8"
"Trang danh mục","section_pro_1_limit","Số sản phẩm mỗi lần tải (Xem thêm / Ajax)","text","Có","10","10"
"Trang danh mục","collection_number_product","Số sản phẩm trên trang","text","Có","12","16"
"Trang danh mục","aside_coupon_enable","Hiển thị?","checkbox","Chưa","","true"
"Trang danh mục","aside_category_enable_bot","Hiển thị khối?","checkbox","Có","false","true"
"Trang danh mục","aside_category_menu_bot","Chọn menu danh mục sản phẩm","link_list","Có","main-menu",""
"Trang danh mục","des_all_page","Chọn trang nội dung","page","Có","mo-ta-noi-dung-danh-muc",""
"Trang danh mục","aside_category_enable","Hiển thị khối?","checkbox","Có","false","true"
"Trang danh mục","aside_category_title","Tiêu đề","text","Có","Danh mục sản phẩm",""
"Trang danh mục","aside_category_menu","Chọn menu danh mục sản phẩm","link_list","Có","main-menu",""
"Trang danh mục","aside_filter_enable","Hiển thị bộ lọc","checkbox","Có","true",""
"Trang danh mục","filter_vendor","Hiển thị bộ lọc hãng","checkbox","Có","true",""
"Trang danh mục","filter_vendor_title","Tiêu đề","text","Có","Thương Hiệu","Thương hiệu"
"Trang danh mục","filter_type","Hiển thị bộ lọc loại sản phẩm","checkbox","Có","true",""
"Trang danh mục","filter_type_title","Tiêu đề","text","Có","Loại Sản Phẩm","Loại sản phẩm"
"Trang danh mục","filter_tag1","Hiển thị bộ lọc tag sản phẩm","checkbox","Có","true",""
"Trang danh mục","filter_tag1_title","Tiêu đề","text","Có","Thành Phần Hoạt Tính","Màu sắc"
"Trang danh mục","filter_tag1_list","Nhập các tên tag cần lọc","textarea","Có","Retinol;Vitamin C;Hyaluronic Acid;Niacinamide",""
"Trang danh mục","filter_tag2","Hiển thị bộ lọc tag sản phẩm","checkbox","Có","true",""
"Trang danh mục","filter_tag2_title","Tiêu đề","text","Có","Vấn Đề Về Da","Dung lượng"
"Trang danh mục","filter_tag2_list","Nhập các tên tag cần lọc","textarea","Có","Mụn trứng cá;Lão hóa;Nhạy cảm;Sắc tố",""
"Trang danh mục","filter_tag3","Hiển thị bộ lọc tag sản phẩm","checkbox","Có","false",""
"Trang danh mục","filter_tag3_title","Tiêu đề","text","Có","","Tình trạng"
"Trang danh mục","filter_tag3_list","Nhập các tên tag cần lọc","textarea","Có","",""
"Trang danh mục","recent_product_enabled","Bật sản phẩm xem gần đây","checkbox","Có","true",""
"Trang danh mục","product_recent_limit","Giới hạn sản phẩm xem gần đây","text","Có","6",""
"Trang danh mục","product_upsell_enable","Bật upsell popup","checkbox","Có","true",""
"Trang danh mục","product_wishlist_limit","Giới hạn sản phẩm yêu thích","text","Có","4",""
"Trang danh mục","product_wishlist_title","Tiêu đề sản phẩm yêu thích","text","Có","Có thể bạn thích",""
"Trang danh mục","pro_category_menu","Menu danh mục sản phẩm","link_list","Có","menu-danh-muc",""
"Trang sản phẩm","product_swatch_enable","Dùng biến thể màu?","checkbox","Có","true",""
"Trang sản phẩm","product_info_enable","Hiển thị khối?","checkbox","Chưa","","true"
"Trang sản phẩm","img_info_icon.jpg","Ảnh","image","Chưa","",""
"Trang sản phẩm","product_info_title","Tiêu đề 1","text","Có","Tư vấn chuyên môn","Người Theo Dõi: 10,8k"
"Trang sản phẩm","product_info_title_2","Tiêu đề 2 ","text","Có","Pharma Cosmetics","Nhà Bean Pharma"
"Trang sản phẩm","product_link_1_title","Tiêu đề liên kết 1","text","Có","Gọi tư vấn","Liên kết Tiktok Shop"
"Trang sản phẩm","product_link_1_url","Đường dẫn liên kết 1","text","Có","Tel:0965594399","https://seller-vn.tiktok.com/"
"Trang sản phẩm","product_link_2_title","Tiêu đề liên kết 2","text","Có","","Xem shop ngay"
"Trang sản phẩm","product_link_2_url","Đường dẫn liên kết 2","text","Có","","/collections/all"
"Trang sản phẩm","product_sharing_enable","Hiển thị khối?","checkbox","Có","true",""
"Trang sản phẩm","product_buynow_title","Tiêu đề mua ngay","textarea","Có","<span>MUA NGAY</span><span style=""font-size: 11px;"">Giao hàng tận nơi và kiểm tra hàng trước thanh toán</span>","<span>MUA NGAY</span><span>Giao hàng tận nơi hoặc nhận tại cửa hàng</span>"
"Trang sản phẩm","product_installment_title","Tiêu đề nút đặt trước","textarea","Có","ĐẶT TRƯỚC SẢN PHẨM<span>Nhận sản phẩm nhanh hơn khi có hàng</span>","MUA TRẢ GÓP<span>Duyệt hồ sơ trong 5 phút</span>"
"Trang sản phẩm","icon_pre_order.png","Ảnh icon (300x243px) .png","image","Chưa","",""
"Trang sản phẩm","product_store_enable","Dùng?","checkbox","Có","false","true"
"Trang sản phẩm","product_store_title","Tiêu đề","text","Có","Tìm nhà thuốc gần bạn nhất","Tìm cửa hàng gần bạn nhất"
"Trang sản phẩm","product_coupon_enable","Hiển thị","checkbox","Chưa","","true"
"Trang sản phẩm","product_policy_enable","Hiển thị","checkbox","Chưa","","true"
"Trang sản phẩm","product_policy_1_enable","Hiển thị chính sách 1","checkbox","Chưa","","true"
"Trang sản phẩm","product_policy_1_title","Nội dung chính sách 1","text","Có","Hoàn tiền 150% nếu phát hiện hàng giả","Miễn phí vận chuyển tại TP.HCM"
"Trang sản phẩm","product_policy_2_enable","Hiển thị chính sách 2","checkbox","Chưa","","true"
"Trang sản phẩm","product_policy_2_title","Nội dung chính sách 2","text","Có","Miễn phí giao hàng toàn quốc","Bảo hành chính hãng toàn quốc"
"Trang sản phẩm","product_policy_3_enable","Hiển thị chính sách 3","checkbox","Chưa","","true"
"Trang sản phẩm","product_policy_3_title","Nội dung chính sách 3","text","Có","Hỗ trợ đổi trả miễn phí","Cam kết chính hãng 100%"
"Trang sản phẩm","product_policy_4_enable","Hiển thị chính sách 4","checkbox","Chưa","","true"
"Trang sản phẩm","product_policy_4_title","Nội dung chính sách 4","text","Có","Hỗ trợ tận tình 24/7","Hỗ trợ sửa chữa, bảo hành"
"Trang sản phẩm","product_promo_enable","Dùng khuyến mãi?","checkbox","Có","false",""
"Trang sản phẩm","product_promo_text","Tiêu đề","textarea","Chưa","","KHUYẾN MÃI - ƯU ĐÃI"
"Trang sản phẩm","product_combo_title","Nhập tiêu đề khối","text","Có","Sản phẩm mua kèm","Sản phẩm mua kèm"
"Trang sản phẩm","product_flashsale_enable","Sử dụng khối?","checkbox","Chưa","","true"
"Trang sản phẩm","product_flashsale_title","Nhập tiêu đề ngắn","textarea","Chưa","","Cơ hội cuối! Chương trình sẽ kết thúc sau:"
"Trang sản phẩm","product_video_title","Tiêu đề","text","Có","Xem video",""
"Trang sản phẩm","product_tab2_enable","Hiển thị tab 2","checkbox","Có","true",""
"Trang sản phẩm","product_tab2_title","Tiêu đề tab 2","text","Chưa","",""
"Trang sản phẩm","product_tab3_enable","Hiển thị","checkbox","Có","true",""
"Trang sản phẩm","product_specifications_title","Tiêu đề khối","text","Có","Thông tin chi tiết","Thông số kỹ thuật"
"Trang sản phẩm","product_combo_compat_enable","Dùng có thể bạn đang tìm?","checkbox","Có","true",""
"Trang sản phẩm","product_related_title","Tiêu đề","text","Có","<span>Có thể</span> bạn thích","Tin nổi bật"
"Trang sản phẩm","product_related_collection","Chọn danh mục sản phẩm","collection","Có","top-kem-duong-noi-bat",""
"Trang sản phẩm","product_related_limit","Giới hạn","text","Có","4","5"
"Trang sản phẩm","product_recent_enable","Hiển thị khối?","checkbox","Có","true","true"
"Trang sản phẩm","product_same_cate_title","Tiêu đề","text","Có","<span>Sản phẩm</span> liên quan","Sản phẩm liên quan"
"Trang sản phẩm","product_same_cate_limit","Giới hạn sản phẩm","text","Có","6","5"
"Trang sản phẩm","product_same_enable","Dùng sản phẩm cùng phân khúc giá?","checkbox","Có","true",""
"Trang sản phẩm","product_same_price_title","Tiêu đề","text","Có","<span>Cùng phân</span> khúc giá","Cùng phân khúc giá"
"Trang sản phẩm","product_same_price_limit","Giới hạn số lượng sản phẩm","text","Chưa","","10"
"Trang sản phẩm","product_viewed_enable","Hiển thị khối?","checkbox","Có","true","true"
"Trang sản phẩm","product_viewed_title","Tiêu đề","text","Có","Sản phẩm đã xem","Bạn đã xem"
"Trang sản phẩm","pro_category_title","Tiêu đề danh mục sản phẩm","text","Có","Danh mục sản phẩm",""
"Trang sản phẩm","user_product_sumary","Tóm tắt sản phẩm user","text","Có","true",""
"Trang sản phẩm","combo_height","Chiều cao combo (px)","text","Có","560",""
"Trang sản phẩm","combo_width","Chiều rộng combo (px)","text","Có","420",""
"Blog & Bài viết","blogs_number_perpage","Số bài viết trên trang","text","Có","6","12"
"Blog & Bài viết","article_social_enable","Hiển thị?","checkbox","Có","true","true"
"Blog & Bài viết","blog_lq_enable","Hiển thị?","checkbox","Chưa","","true"
"Blog & Bài viết","title_blog_relate","Tiêu đề","text","Có","Tin tức liên quan",""
"Blog & Bài viết","limit_blog_relate","Giới hạn bài viết","text","Có","7","6"
"Blog & Bài viết","right_asideblog_enable","Dùng cột phải?","checkbox","Chưa","","true"
"Blog & Bài viết","right_aside_blog","Hiển thị?","checkbox","Chưa","","true"
"Blog & Bài viết","aside_category_blog_title","Tiêu đề","text","Có","Danh mục sản phẩm",""
"Blog & Bài viết","aside_category_blog_menu","Chọn menu","link_list","Có","main-menu",""
"Blog & Bài viết","right_aside_noibat","Hiển thị?","checkbox","Chưa","","true"
"Blog & Bài viết","news_relate","Tiêu đề","text","Có","Tin nổi bật","Tin tức nổi bật"
"Blog & Bài viết","relate_blog","Chọn danh mục bài viết","blog","Có","tin-tuc",""
"Blog & Bài viết","number_relate_blog","Giới hạn bài viết","text","Có","5","4"
"Blog & Bài viết","article_tags_enable","Hiển thị tags bài viết","checkbox","Có","true",""
"Blog & Bài viết","blog_expert_per_page","Số bài viết trên trang","text","Chưa","","12"
"Blog & Bài viết","blog_expert_aside_enable","Hiển thị khối?","checkbox","Có","true","true"
"Blog & Bài viết","blog_expert_aside_menu","Chọn menu danh mục blog","link_list","Có","goc-suc-khoe",""
"Blog & Bài viết","blog_expert_related_title","Tiêu đề","text","Chưa","","Đội ngũ chuyên môn"
"Blog & Bài viết","blog_expert_blog","Chọn danh mục bài viết","blog","Có","doi-ngu-duoc-si",""
"Blog & Bài viết","blog_expert_related_limit","Số bài liên quan chuyên gia","select","Có","3","3"
"Blog & Bài viết","number_doingu_blog","Giới hạn bài viết","text","Có","5","4"
"Blog & Bài viết","kiemduyet_user_enable","Hiển thị khối kiểm duyệt?","checkbox","Có","false","true"
"Blog & Bài viết","img_kiemd_icon.jpg","Ảnh","image","Chưa","",""
"Blog & Bài viết","kiem_duyet_name","Tên người kiểm duyệt","text","Có","Pharma Cosmetics","Nhà thuốc Bean Pharmacity"
"Blog & Bài viết","kiem_duyet_title","Tiêu đề kiểm duyệt","text","Chưa","","Nội dung đã được kiểm duyệt"
"Blog & Bài viết","kiem_duyet_content","Nôi dung dược sĩ","textarea","Có","Có kinh nghiệm trên nhiều năm trong lĩnh vực bán lẻ Dược mỹ phẩm & TPCN, là chuyên gia hướng dẫn và tư vấn sử dụng sản phẩm một cách an toàn, hiệu quả, hướng đến chăm sóc tốt nhất cho mọi người. ","Có kinh nghiệm trên nhiều năm trong lĩnh vực Dược phẩm, là dược sĩ hướng dẫn và tư vấn sử dụng thuốc một cách an toàn, hiệu quả, hướng đến chăm sóc tốt nhất cho mọi người. Hiện tại, chị là dược sĩ phụ trách chuyên môn và cũng là chủ Nhà Thuốc Bean Pharmacity"
"Giỏ hàng","free_shipping_enable","Hiển thị?","checkbox","Có","true",""
"Giỏ hàng","free_shipping_text_1","Nội dung miễn phí vận chuyển","text","Chưa","","Đơn hàng được miễn phí vận chuyển"
"Giỏ hàng","free_shipping_text_2","Nội dung 1","text","Chưa","","Mua tối thiểu"
"Giỏ hàng","free_shipping_text_3","Nội dung 3","text","Chưa","","để được <b>MIỄN PHÍ VẬN CHUYỂN</b>"
"Giỏ hàng","free_shipping_price","Mức giá tối thiểu miễn phí vận chuyển","text","Có","500000","1500000"
"Giỏ hàng","delivery_show","Hiển thị","checkbox","Có","false",""
"Giỏ hàng","delivery_heading","Tiêu đề","text","Có","Thời gian giao hàng",""
"Giỏ hàng","delivery_date_title","Tiêu đề ngày nhận","text","Chưa","",""
"Giỏ hàng","delivery_time_title","Tiêu đề thời gian nhận","text","Chưa","",""
"Giỏ hàng","delivery_time_default","Tiêu đề danh sách thả xuống","text","Có","Chọn thời gian",""
"Giỏ hàng","delivery_time","Thời gian giao hàng","textarea","Có","08h00 - 12h00; 14h00 - 18h00; 19h00 - 21h00",""
"Giỏ hàng","use_cart_vat","Hiển thị","checkbox","Có","false",""
"Giỏ hàng","use_cart_coupons","Hiển thị khối?","checkbox","Có","false",""
"Giỏ hàng","cart_suggest_product_enable","Hiển thị khối?","checkbox","Chưa","","true"
"Giỏ hàng","cart_suggest_product_title","Nhập tiêu đề khối","text","Có","<span>Có thể </span> bạn thích","Có thể bạn thích"
"Giỏ hàng","cart_suggest_product_col","Chọn danh mục sản phẩm hiển thị","collection","Có","san-pham-noi-bat",""
"Giỏ hàng","cart_suggest_product_limit","Nhập số sản phẩm hiển thị","text","Chưa","","6"
"Giỏ hàng","use_coupons_order","Hiển thị","checkbox","Chưa","","true"
"Giỏ hàng","aside_category_menu_order","Chọn menu","link_list","Có","mua-sam-theo-san-pham",""
"Tài khoản khách hàng","account_active_limit","Số đơn 'đang đến' hiển thị tối đa","text","Có","2","2"
"Tài khoản khách hàng","account_reorder_limit","Số sản phẩm 'Mua lại nhanh' tối đa","text","Có","8","8"
"Trang Đăng nhập / Đăng ký","auth_panel_image","Ảnh panel thương hiệu (desktop bên trái / mobile banner trên)","image","Có","",""
"Trang Đăng nhập / Đăng ký","auth_panel_headline","Tiêu đề panel thương hiệu","text","Có","Chăm sóc da chuẩn y khoa, cá nhân hoá cho riêng bạn","Chăm sóc da chuẩn y khoa, cá nhân hoá cho riêng bạn"
"Trang Đăng nhập / Đăng ký","auth_panel_tagline","Mô tả ngắn dưới tiêu đề","textarea","Có","SKIN HEALTH BEAUTY by PHARMA COSMETICS — hệ thống dược mỹ phẩm & trị liệu da đồng hành cùng bạn từ chẩn đoán tới phác đồ.","SKIN HEALTH BEAUTY by PHARMA COSMETICS — hệ thống dược mỹ phẩm & trị liệu da đồng hành cùng bạn từ chẩn đoán tới phác đồ."
"Trang Đăng nhập / Đăng ký","auth_trust_badge_1","Trust badge 1","text","Có","Dược sĩ/Chuyên gia thẩm định thành phần","Dược sĩ/Chuyên gia thẩm định thành phần"
"Trang Đăng nhập / Đăng ký","auth_trust_badge_2","Trust badge 2","text","Có","Cam kết hàng chính hãng 100%","Cam kết hàng chính hãng 100%"
"Trang Đăng nhập / Đăng ký","auth_trust_badge_3","Trust badge 3","text","Có","Tư vấn 1:1 cùng chuyên gia da liễu","Tư vấn 1:1 cùng chuyên gia da liễu"
"Mobile","mobile_header_sticky","Ghim đầu trang khi cuộn (sticky)","checkbox","Có","true","true"
"Mobile","mobile_header_compact","Thu gọn 1 hàng khi cuộn xuống","checkbox","Có","true","true"
"Mobile","mobile_bottom_nav_enable","Bật thanh điều hướng dưới","checkbox","Có","true","true"
"Mobile","mobile_nav_home_enable","Bật tab Trang chủ","checkbox","Có","true","true"
"Mobile","mobile_nav_home_label","Nhãn tab","text","Có","Trang chủ","Trang chủ"
"Mobile","mobile_nav_home_url","Đường dẫn","text","Có","/","/"
"Mobile","mobile_nav_home_icon","Icon (FA class)","text","Có","",""
"Mobile","mobile_nav_products_enable","Bật tab Sản phẩm","checkbox","Có","false","true"
"Mobile","mobile_nav_products_label","Nhãn tab","text","Có","Danh Mục","Sản phẩm"
"Mobile","mobile_nav_products_url","Đường dẫn","text","Có","/collections/all","/collections/all"
"Mobile","mobile_nav_products_icon","Icon (FA class)","text","Có","fas fa-bag-shopping",""
"Mobile","mobile_nav_wishlist_enable","Bật tab 3","checkbox","Có","true","true"
"Mobile","mobile_nav_wishlist_label","Nhãn tab","text","Có","Trước Sau","Yêu thích"
"Mobile","mobile_nav_wishlist_url","Đường dẫn","text","Có","/phan-hoi-cua-khach-hang",""
"Mobile","mobile_nav_wishlist_icon","Icon (FA class)","text","Có","fas fa-children",""
"Mobile","mobile_nav_blog_enable","Bật tab 4","checkbox","Có","true","true"
"Mobile","mobile_nav_blog_label","Nhãn tab","text","Có","Về chúng tôi","Blog"
"Mobile","mobile_nav_blog_url","Đường dẫn","text","Có","/about-us","/tin-tuc"
"Mobile","mobile_nav_blog_icon","Icon (FA class)","text","Có","fas fa-users-rays",""
"Mobile","mobile_nav_account_enable","Bật tab Tài khoản","checkbox","Có","true","true"
"Mobile","mobile_nav_account_label","Nhãn tab","text","Có","Tài khoản","Tài khoản"
"Mobile","mobile_nav_account_url","Đường dẫn","text","Có","/account","/account"
"Mobile","mobile_nav_account_icon","Icon (FA class)","text","Có","",""
"Mobile","mobile_search_popup_enable","Bật popup tìm kiếm toàn màn hình","checkbox","Có","true","true"
"Mobile","mobile_search_placeholder","Chữ gợi ý trong ô tìm kiếm","text","Có","Tìm sản phẩm, thương hiệu...","Tìm sản phẩm, thương hiệu..."
"Chân trang","enable_info_foo","Hiển thị mô tả chân trang?","checkbox","Chưa","","true"
"Chân trang","content_info_foo","Nội dung mô tả","textarea","Có","NỀN TẢNG DƯỢC MỸ PHẨM TOÀN CẦU VÀ TRỊ LIỆU DA CÁ NHÂN HÓA, ĐỒNG HÀNH CÙNG BẠN TRÊN HÀNH TRÌNH XÂY DỰNG LÀN DA KHỎE ĐẸP BỀN VỮNG.",""
"Chân trang","footer_social_enable","hiển thị khối?","checkbox","Có","true","true"
